epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,227302,0.26373,3.14667,0.95522,0.67009,0.02828,0.01042,0.01042,0.0796,9.10865,0.21295,2.64248e-05,2.64248e-05,2.64248e-05
41,231267,0.22164,3.15118,0.88497,0.73014,0.01944,0.00833,0.00833,0.06798,6.89833,0.20072,2.4128e-05,2.4128e-05,2.4128e-05
42,235430,0.20777,3.0902,0.88225,0.63828,0.02387,0.00991,0.00991,0.06646,7.48216,0.19738,2.18312e-05,2.18312e-05,2.18312e-05
43,239634,0.20239,3.05263,0.87251,0.7446,0.01187,0.00798,0.00797,0.06404,7.69501,0.1965,1.95344e-05,1.95344e-05,1.95344e-05
44,243793,0.19518,3.02442,0.85622,0.71694,0.01921,0.00941,0.00941,0.06087,8.16417,0.19207,1.72376e-05,1.72376e-05,1.72376e-05
45,247747,0.19525,3.01443,0.8695,0.71698,0.01944,0.00779,0.00779,0.06423,7.49392,0.19557,1.49408e-05,1.49408e-05,1.49408e-05
46,251538,0.18628,2.98057,0.85369,0.70171,0.01944,0.00838,0.00838,0.06491,7.86567,0.1965,1.2644e-05,1.2644e-05,1.2644e-05
47,255341,0.19022,2.96604,0.86227,0.70096,0.01944,0.00976,0.00976,0.06449,8.63016,0.19522,1.03472e-05,1.03472e-05,1.03472e-05
48,259347,0.17949,2.94873,0.84945,0.70071,0.01944,0.00872,0.00872,0.06251,8.43502,0.19328,8.0504e-06,8.0504e-06,8.0504e-06
49,263333,0.17677,2.93957,0.8459,0.68543,0.01944,0.0089,0.0089,0.06281,8.23358,0.19391,5.7536e-06,5.7536e-06,5.7536e-06
50,267541,0.17933,2.94789,0.85115,0.6851,0.01944,0.00874,0.00874,0.06307,8.18972,0.19415,3.4568e-06,3.4568e-06,3.4568e-06
